 title , comment , username , date  , rating 
MGM Grand was by far the best stay in 20 years in going to Vegas,"We stayed in the MGM grand and found the valet easy and fast, check in and out was convenient and close to the valet. And access to the elevators was easy and close as well. No hikes, and no long waiting for elevators. The room we chose was the exec suite and everything was…",Ken M,August 2018,5.0
As good as I hoped it would be,"Surely the best hotel I’ve ever stayed in! I suppose it’s unlike any other hotel I’ve ever stayed in to be honest due to the sheer size and facilities within it, but that doesn’t detract away from the whole experience of staying here. The room I had booked was spacious, the…",H Dadey,September 2018,5.0
The Green Experience,"When booking this Hotel make sure to find out where you room is located before hand. I was in the WEST WING its very far from the middle of the Hotel and or the Conference Center. It is over 1800 steps if you count them from one end to the other. I averaged 18,000 steps a day…",shaunyv87,July 2019,4.0
Business trip to Vegas,"Excellent staff and Hotel; we have already planned our next vacation with a stay at the MGM Grand, we usually stay at The Paris Hotel down the strip the staff won us over. Food choices were outstanding. Great mix of casino games",robertjk230,July 2019,5.0
Expensive but very basic room,"Expensive but very basic. The bath / shower looked like something out of the 60s. Bed was hard. No down pillows, no fitted sheets plus room service skipped my room 2 days in a row. TV channel line up was basic. Chairs in the room were old and uncomfortable",johnsaxton,July 2019,1.0
Dated and not up to date for business travellers in my view,"Went here, hotel rooms are okay, typical type rooms. no tea coffee making facilities, no complimentary water. Gym equipment okay, only open 8to 8 which for business people just dies not work these days. Swimming pool same hours!, Went to get a coffee Starbucks by reception…",Roger J,July 2019,3.0
Great place to stay,Great place to stay. Everyone was super nice and helpful. Room was nice and clean. Beds were very comfortable. close convenience of all the stores I wanted to shop at I also enjoyed the casino part of the MGM.,442alicia,July 2019,5.0
Absymal,The toilet and sinks backed up every day except day 1 with black water that smelled like raw sewage. It made for a very unromantic stay and we had to use bathrooms in the lobby and casino. It was not satisfactory at all.,drpgclark,July 2019,1.0
Poor in-room air quality and subpar cleanliness,Poor in-room air quality caused sore throat and sinus issues. Overall room was outdated and subpar cleanliness. I also had a security incident with someone pulling out a gun during my morning run. This incident occurred directly in front of the MGM.,Rontagousky,July 2019,3.0
Shocking Customer Service,MGM is an okay hotel with a very cool nightclub BUT the customer service is an absolute shocker - hotel staff were rude which is in complete contrast to the other hotels we visited. Definitely wont be spending my money here again.,Steve d,July 2019,1.0
Great Stay,Our family had a great time at MGM. The only negative would be some of the extra charges we encountered such as refrigerator cost in the room and sit down charges at restaurants. Other than that the hotel was clean and comfortable,kthagar,July 2019,5.0
Family holiday,"My family and I stayed at MGM whilst in Vegas. The hotel was what we expected of a Vegas casino, clean, it is central with a variety of restaurants and bars, shows and Starbucks. My teenage children enjoyed it but I would probably choose a non casino hotel if I had young…",Jamoperth,July 2019,4.0
best trip ever,"what a place, i spend three amazing nights in this wonderful hotel, which in fact is more like a small village, swimming pools, the lazy river, shops, restaurants, casino, theatres, spa, hair dressers . the room was amazing, comfy beds, great views , lovely staff and very clean.",happydiner37,June 2019,5.0
Tyson Botha fight!!!! Love the Hotel!,I love this hotel I saw the Tyson Botha fight many years back! The rooms are huge. The buffet is excellent . The service was outstanding . The shopping is great. Beautiful hotel. Lots of Las Vegas History. We will be back.,Karpathos1977,July 2019,5.0
Really disappointing,This was the last stop of our 3 week roadtrip from San Francisco. Having been to Vegas before I was so looking forward to going back and staying in a fabulous hotel. How wrong was I !!!! Started great with a friendly welcome and check in with Justin and the room was fine. …,KandKMacd,July 2019,2.0
A disappointment,"Had four nights there, two part of a conference, and another two nights downtime. I'll start with my Strip View Room - two Queen beds. The room itself is well sized, however in dire need of renovations. The room looks tired, along with the bathroom, fittings and otherwise. …",Shooter25,July 2019,2.0
overall opinion,"I am a rewards member and stayed with an offer from the hotel. I found the slots very tight and did much better at other hotels. However, after all considered, I'd stay there again even though I lost at the slots.",lickskillet,July 2019,5.0
Family vacation,The rooms wer wrong and the snelled of aomething burning came through the vents..small kids had to smell that during our stay..................i did not receive the food and beverage cresot for the room mistake...spent alot of money for the rooms and was very disappointed,jefferybradley84,July 2019,2.0
Review of MGM Grand,"See my earlier comments regarding room, service, housekeeping, meals, location, and stores. I'll also comment that during the weekend my floor was super noisy preventing me from sleeping (this was from 12:30am - 4am Friday and Saturday night) - i was here on business and needed…",jeaaco,July 2019,2.0
Room,"Our room was extremely small, dark and had no privacy when using the washroom. The sink was clogged and the frosted glass doors had buildup around the bottom (other peoples dirt is not appealing). I would never stay in that room again! The rest of our stay at the mgm was amazing!",Road593093,July 2019,4.0
Never again,"I had the unfortunate experience of staying at this hotel June 2019. We were a group of 4 with 2 to a room. The queue was not that bad to check-in, but the staff member who checked us in was more interested in the sports on the big screen behind him rather than doing his job…",Love2travel898,June 2019,1.0
Rundown,Stayed here for a week recently. Found hotel room very old and rundown. No tea/coffee making in room. Shower was terrible. Food options for breakfast very limited and it wasn’t that close to everything on the stop. For the prices charged would be better off going for another…,Belinda C,July 2019,3.0
Disappointing,This was our second stay at MGM and I will not return. Very disappointed overall. They charge ($35/day)to have a refrigerator in the room even if for a medical need. Couldn't even use the minibar fridge to store medicine because we would be charged for accessing the fridge. …,Michelle L,July 2019,2.0
Mother Daughter trip,Even though my daughter was still nursing from her last child we came to Vegas anyway. She still had to pump and had intended to preserve the milk in a room frig. Unfortunately there was no frig. It didn’t slow us down though and we had a great time. The dinner buffet was very…,cajaques,July 2019,5.0
Dirty and smokey,"The rooms are dark and the air conditioning needs to be upgraded. The smoke in the casino is one of the worst on the strip and it filters up to the rooms. Within hours of being in my room, I was congested.",sedgar2019,July 2019,1.0
MGM Vegas,"Front desk and check in easy and were very friendly and welcoming. Housekeeping staff always kept room clean and were friendly. Table games dealers were subpar, not very friendly and lacked basic customer service skills.",johnsondg22,July 2019,4.0
What a stay,"Checking was easy, everything in the hotel dinning was great Buffet! Staff in every location services with a smile. No other place for me to stay I will always book with MGM Grand. After checkout left luggage process great.",Adana M,July 2019,5.0
Not recommended. Many better options on the Strip.,"Very disappointed. The facility (and rooms in particular) are worn, out-of-date, and in need of repair. Dining options are dated and uninteresting. As a frequent visitor to Las Vegas for both business and pleasure, I am unlikely to return to the MGM Grand.",middletonallen,July 2019,1.0
Very clean well kept,"Three floors of gambling slot machines on one floor and table games on the other two The place was well kept and spotless Many varieties to play people friendly service good, and we won making it even better",Patriklise,July 2019,4.0
Las Vegas,"Hotel a dir poco immenso, ma con un organizzazione Top! La colazione in pratica è un pranzo, dal sushi alle brioche passando dalle frittate dì tutti i tipi!! Tutto e immenso, d’altronde siamo a Las Vegas!!!",Giugnor,August 2018,4.0
Beautiful,This hotel is beautiful on the inside. Casino and buffet was very nice. Staff is very friendly.. wish I could of stayed here longer. The shows and the countless activities. Must aleast visit. Very nice,jessreynolds01,July 2019,5.0
Great stay!,Stiff bed but other than that great stay! Staff is friendly and the casino isn’t too bad to get around once you get the hang of it. Bonus is the pool. There were always seats to be had and the restaurants offer a wide range of cuisine. Try the pizza at Bonnaro’s!,Melanie D,July 2019,5.0
Great central hotel,I was here for a conference - I found this hotel very clean and very helpful staff. Having top golf nearby was great. The rooms are not as fancy as the Mandalay but not bad at all. I had everything I needed. Compared to some other places - I felt like I was in an upmarket…,Bellsyoungleson,July 2019,5.0
MGM park,This is a new hotel on the strip you need to check out the restaurant at the front it has a butcher who will carve what you want straight from the carcas and cook it for you it's lovely fresh and vibrant. Well worth checking out. I would recommend it We went to see Aerosmith in…,Michellecree,July 2019,5.0
Worst Check In Waste of Time on the Strip,"I've stayed at more than 13 hotels on the strip. MGM is ALWAYS a pain in the butt to check in. Much better places to stay with easier IN & OUT processes. If you're getting an $84 a night room or a $650 a night room, expect to wait at least 30 minutes to check in. I've stayed…",BigMack1111,July 2019,1.0
An aging property with a lot of room-related problems,"The lobby, bars, casino and restaurant areas of this property are fine and I wouldn't hesitate to return as a visitor. The rooms in the Grand Tower are dated. There was rust in parts of the shower, the water pressure was pretty underwhelming. When I checked into the hotel…",Global24667852437,July 2019,3.0
Vegas trip 2019,"The hotel price is really good, however, there are things that didn't satisfy me with my stay. Water pressure in the bathroom is really low. part of wall paper is coming off in the bathroom. No coffee make included in the room and executive king suite should have a divider…",teyetwoo,July 2019,4.0
MGM Grand - great resort,"Excellent hotel, resort and conference center in Las Vegas. Most impressive were the 4-5 outdoor pools and a Lazy River, surrounded by amazing palm trees. Hotel was well decorated, upscale and clean. Conference rooms hosting 5000 attendees were excellent, along with the food…",Susan C,July 2019,5.0
"Great casino, terrible pool.","While my girlfriend and I enjoyed our room and the casino, we both were shocked at people's behavior and the atmosphere of the pool area. We felt like we were at a sleezy bar that just happen to be seated in a lazy river. A river so lazy that people decided they did not need…",Jason B,July 2019,3.0
"Staff is amazing, but hotel is too overcrowded.","We wanted to love this hotel, but unfortunately we felt like we were being ""nickel and dimed"" for everything. The rooms are average for the price, decor is too dark, weak water pressure, tepid water temp. No hot water kettles ($30 extra if you want one in your room), plastic…",OnAir435776,July 2019,2.0
"Horrible Service, Cold Water, Bad Housekeeping and Vehicle Dent","Upon check-in at 11:15pm on Tuesday, July 9th, we were told (as Pearl members) to check-in via the VIP line. Once there, Meaghan (?) at the desk rudely told us to go wait in the regular line without even asking any questions. Once I explained we were Pearl members, Meaghan…",BuggasMom,July 2019,1.0
Good stay,Good room good bed superior shower The light in the closet kept comming on was the only problem Great friendly people . Great maps to find your way around inside. Good shows and more Draw back long hallways But good stay sleptg vvv ups,Companion47640887102,July 2019,4.0
My stay,My stay Was great but I hope you guys bring back the old buffet you use to have it was awesome I did not like the new one so hopefully you guys can bring it back other than that it was a great experience and it was great,sirwhistle,July 2019,4.0
Thank you,"Had a blast, I really wish the buffet was better, but you can't really get a perfect experience. The room was clean, beautiful. My girlfriend had a bad rash from the heat and needed a room with a bathtub for her to enjoy the trip. Unfortunately that cost us more money but it was…",dajakewhite,July 2019,3.0
Excellent stay,"The front deck was super nice and upgraded us to the highest floor. We wish we stayed extra night to enjoy the hotel. The hotel is right in the center of stripes and convenient for going to a show or restaurant. If we visit Las Vagus again, we will stay here again.",Ruei-Jen F,February 2019,5.0
It's certainly GRAND!,"I love the MGM Grand! The location to the airport is excellent, and you can start your way down the strip from here. The food court is great and there are amazing restaurants onsite as well. Two Starbucks keep you nicely caffeinated. :-) The smell of pot through the room hallway…",Explore36807297742,July 2019,5.0
Convention,"I would recommend this hotel. Rooms were nice, staff friendly, all of the restaurants were very good. Had a convention here it went very well. Food was good in convention. Location was nice could jump on Monorail to visit the strip hotels, restaurants and stores.",Bunch1020,July 2019,5.0
Don't bother getting an Mlife Card,"Extended my stay with MGM Grand after my conference to get married on property at the Chapel. started with a sapphire card ended up leaving as a platinum member after spending so much for the wedding, top golf, dinner, etc. there was really no point in getting a mlife card. We…",amatarazzo,July 2019,2.0
Not the greatest experience,"First impression of the lobby wasn't the best, we arrived late in the evening and the whole place reeked of cigarette smoke. The hotel is vast and there are plenty of bars and restaurants/take-away's within the hotel to keep you there, the slot machines are fun but it's easy to…",Beenthereandback,July 2019,3.0
Some of the Best Vegas has to Offer,"A property towards the south end of the strip that offers something for everyone. Comfortable accommodations. Great shows. Can be child friendly, if looking for family accommodations. Expect MGM quality and service.",Travel26502668280,July 2019,4.0
Do not stay,"Dirty room, rude representative. Extremely long check in process. Why is there a minimum of 200 characters to place your review? Most people wouldn't bother when they're stay wasn't a favorable experience.",JonLenn,July 2019,3.0
MGM Not so Grand,"We arrived late (2 am) due to flight delays, weary and tired. Service on check in was terrible. We requested adjoining rooms (since we had a 7 month old) and the 2 ladies took 45 minutes of confusing and difficult to understand communications to let us know there were none…",bobbocud,June 2019,1.0
Great Room with a View,This hotel room was stunning with a tremendous view of the city and strip. We stayed mid-week and had the best rates overall. Parking was additional at $15.00 per day. They simply added it to our room bill so check oiut was a simple process.has the best rates also. The room had…,robinpQ6941BW,July 2019,5.0
Best hotel and casino,I always stay at Mgm Grand nice hotel and casino and also have great service experience and an excellent entertainment Hakkasan Nightclub and wet republic for pool parties everything on the only mgm grand,lherrera81,July 2019,5.0
Amazing 1st stay in Las Vegas,The MGM Grand was a wonderful first time experience in Las Vegas. Great casino and restaurants. The facilities were always clean and tidy. We tried several of the restaurants and they were all excellent.,344monica,July 2019,5.0
Rooms are filthy,We had to move rooms three times cause they were so gross and smelly. We got to the final room which seemed clean but after the first cleaning we could see trash left behind in the bathroom from the mop. The counters weren’t cleaned well either.,estheru903,July 2019,2.0
Excellent,"Always stay at the MGM it’s perfect the casino is by far the best one on the strip always busy and a great atmosphere the rooms are clean comfy and you feel safe,there’s some great restaurants favioutes Wolfgang puck,craft steak,pub 1842,tap,the MGM grand buffet is perfect…",Ladylambretta,June 2019,5.0
Bad Service.,"We were provided with horrible service. My family and I went to the pool, we left money in my pants in my luggae $620. We didnt ask anyone to come clean the room, but they still did. When we went back to the room, the key to the room didnt work, we called security and he came…",haimgoldstein1980,July 2019,1.0
Cvent Connect Stay,"I had a great rate, so hard to complain but there were long lines at check in, the casino is a little dated, and the sleeping rooms were a bit dark. The bed was nice but temperature in my room was hard to control. It was either to hot or to cold.",Juan M,July 2019,3.0
No hot water!,"I had to stay here for business, but brought along my son and his friend. I ""upgraded"" my room to the tune of $75/night, but definitely did NOT have an upgraded experience. The room was run down (lamps that tilted and were unsteady and flickered on/off, old carpet, loose plugs,…",Lisa A,July 2019,2.0
Nice but with annoying issues,"Lukewarm shower water, hour wait at 2am for check in, walk too far to pool but all in all a very nice hotel that I caught a good deal for so I cant complain too much. Amenities priced at what you would expect for Vegas.",Jalaine P,July 2019,4.0
Never Again,Vomit residue in the bathroom sink and vanity and no one seemed to think it was a big deal. It took hours to get someone to come and clean it. I was told that I would be comped one night for my troubles but that didn't happen either....no accountability. My coworkers Stay Well…,GrandTour12844876319,July 2019,1.0
Will not be returning,"The bathtub did not drain, the shower temperature was luke warm, a bottle of water in the mini bar was over $10.00 and although I had my ""Do Not Disturb"" sign on, housekeeping came in anyway while I was out. NOT ACCEPTABLE!",andrabrown,July 2019,1.0
Disappointed,"The rooms at the MGM are dated and worn...needs to be renovated. No clock, no ice bucket. I had sharp objects sticking out of the bottom of my bed. The buffet was horrendous. Retail restaurants and pool were good. Generally staff was friendly.",barronclark11,July 2019,2.0
NO RUNNING WATER IN HOTEL ROOM!! Old and rundown,"I decided to stay at this hotel for the first time and boy was it a mistake. We stayed 3 nights in the MGM Grand in the main tower. Our room had no running water for one evening!!!! I kept trying to call the front desk about this, but the line was busy. I even have video…",stoneman91,July 2019,1.0
Fantastic place for work and fun!,"I stayed at the MGM Grand for a conference and added an extra day on to take in the sights of Las Vegas. The staff was great, conference center was beautiful and the bed was the most comfortable bed I've ever slept in!",Shannonatwork,July 2019,5.0
Average,Other Las Vegas hotels offer better value for the price. First time staying at MGM Grand and it was a very average experience. Rooms definitely need updating. I wouldn't recommend this hotel if you prefer above average rooms and service.,shann0n312,July 2019,3.0
Wonderful first time Vegas visit,"the MGM hosted the Cvent conference for over 4000 attendees. Our experience as first rate from front desk straight through to check out. I would highly recommend this hotel and casino. Great location, dining options, shows...",krey2019,July 2019,5.0
MGM: Comfortable but unimpressive,"Not terribly impressed with MGM... rooms are pretty standard, nothing special but comfortable. Staff generally seems uninterested. Didn't see any bins for recycling despite massive amount of recyclable products used. Overall it was fine, but it wouldn't be my first hotel choice…",Krysten B,July 2019,3.0
Not worth the stay,"The hotel was old. Other guests complained about how their toilets would not flush and the water in their sinks would not drain. I personally did not experience that, but the room never got cool enough, the juice bars juicer was broken and plug on the lamp for a cell phone…",truggi2019,July 2019,2.0
Hotel stay review,Overall we had a great stay. The only complaint was the line at check in. I would think that management would know the busy times for check in and have it fully staffed. We waited for over an hour to check in. Getting off the plane the excitement of being in Las Vegas is…,jcfmws,July 2019,4.0
OK,"Pros: Awesome Customer service, clean, great casino, excellent pools, good shopping and dining options. Cons: Rooms are a little outdated and need maintenance and updating (entire corner of the lighted mirror was broken) definitely a party casino tons of foot traffic even…",Chad W,June 2019,3.0
Never again if I can help it.,"Grubby, tired, loud, massively oversized and old. This property is one I hope to never revisit. There is no staff or service, a queue for everything and incredibly expensive. The staff when you do find them are ignorant of the property and unable to offer the simplest…",woopie111,July 2019,1.0
Great staff!,"Great staff everywhere in hotel! The employees here looked happy and it shows. That’s a make-or-break for hotels, and MGM knocks it out of the park. From efficient check in, to the smiling and cheerful housekeeping, to our attentive cabana guy, all were absolutely pros.",vikkic0ughlin,July 2019,5.0
Awful experience . Horrible customer service. The room was filthy and smoked in. Customer service is an absolute joke.,"Do not stay here. The room was awful, supposedly a non smoking room, the stench of cigarette smoke made me gag. The bed sheets were dirty. It took over 2 hours to get clean sheets and when the maid arrived she said that the room stunk and asked if I smoked in it! The molding on…",rr0swell,July 2019,1.0
A rip off,The hotel itself is 5 star and yes rooms are good enough. Shower pressure great and spacious. No shower gel only cheap soap. You can’t put anything in the fridge as you will be charged us50 plus tax and if you want a fridge it’s us35 a day! The internet comes with free with…,kipa74,July 2019,2.0
Avoid - too big to care!!!!!,"The service was terrible starting from check-in! First, the mobile checkin was blocked! How do I know, I was told by front desk staff, after being forced to wait over 40 minutes in line to checkin! Why??? Due to issues with a large group that was also checking in on July 11,…",bradsmimi,July 2019,1.0
Poor drink service,Everything was very nice at the MGM Grand. The only complaint I have was the drink service while gambling. I sat there for an hour and still no one to get you a drink. This happened more than once while we were there. We finally went over to new York New York were the drink…,Adventure08089006435,July 2019,4.0
again a great trip,"fun playing, you can hear winning, excellent food choices with hakkasan, L'atelier, and Xiao long bao at Tang ( though closed for a week recently) attentive casino host....great high limit slots....go to Vegas a Loy, stay and play MGM",arbitragemp,July 2019,5.0
Not worth the money spent,"I spent over 2000 on your rooms and much more in your casino and yet charge me and wife for buffet breakfast full price... that was very embarrassing I don't have nothing else to say except for next customer trait them better, offer them discount on flight, room and when they…",dmoyaser,July 2019,3.0
Meh,"Stayed at the MGM last summer simply for all of its history. LOVED the 2 pools had a ton of fun. The hotel itself is so beyond massive it took me a good 2 days to figure out my way around. We stayed in a west wing king on the main level which was super handy, however brutal…",amie018,August 2018,3.0
"MGM For Business and Pleasure, Not as great as I imagined","MGM Grand to me has a standard of excellence in Vegas, after staying there for the first time, I do not have that type of image now. Elevator malfunctioned several times, water shut off twice, buffet was not a great as I imagined, I have been to several other buffets on at other…",NicoleT1234,July 2019,3.0
Disappointed,Have more staff checking in guests. No reason to have to wait 2 hours standing in line to check in. Also not having refrigerators in the room for personal use is ridiculous. Quit trying to charge the guests for every little thing and they might come back.,oufootball01,July 2019,2.0
July Weekend,Too many lines. I had to wait for everything. It took 45 minutes just to check in. There were only two staff members checking in several hundred arrivals. The rest of the stay was just as frustrating.,johnfrancis913,July 2019,3.0
Its an ok location . If you are an MLife member there are other properties that are better,Its and ok place. The casino was ok . The staff was friendly . The is repairs all over the hotel that are marked with brown gaff tape. I was disappointed . Better hotels in the area to choose from . I will be staying at other Mlife Properties,RSKIDJ,July 2019,3.0
Could be better,"As someone who has stayed at numerous Las Vegas hotels, this was just ok. Overall, it’s a decent hotel. However, we had some annoyances. They turn the morning buffet over to brunch at 9am which is way too early. The prices for food inside the hotel are very expensive. A bottle…",nkolidakis3,July 2019,3.0
Avoid the west wing,A very poor room in a high end hotel. Stay away from the west wing. Old dirty carpets and broken shower. For the price stay elsewhere. Plus it is miles from the casino entrance! Will not be back. Have stayed in many Vegas hotels and this is not good.,Hayley B,July 2019,1.0
MGM Grand Forever!,"This was my second stay at MGM Grand (last was 4 yrs ago) and it did not dissapoint. The Stay Well room was cleaned daily, and the combination of air purifier and a/c gave the best nights sleep in years.",DCPhillip81,July 2019,5.0
HAD A BLAST AT MGM,"Had a great time. Rooms were comfortable. The shops, entertainment, food, and pools were fabulous. All worker were polite and helpful. need a lot of work on drinks. Would recommend to people of all ages. there is something to do for everyone.",astradba21,July 2019,4.0
Great Hotel,"One of the best places we have stay. We love the MGM? We have gone to Vegas 6 times and all 6 times we have stayed at the MGM Grand. Very friendly and great service. The room service is great, the beds are super comfortable.",tenares31,July 2019,5.0
Very Good,"A very nice property, with modern conveniences. Would encourage coffee makers in the room. Get there is starbucks but don'e nickel and dime your guests. Service staff at the convention center were excellent.",cherylfranks,July 2019,4.0
General/Music,"The hotel needs updating, it's dark and dingy looking! Also, the music at the main pool. Everyone at the pool is not in there 20's! A variety of music would be nice to hear! I have already mentioned about the restrooms, please have your staff check the restrooms more often,…",Safari66764209271,July 2019,4.0
Other places will take care of you better,My experience at the mgm was less then satisfactory. Spend around 2k for s suite and the stereo didn’t work. Nor the living room tv. Granted the terrace suit was a free upgrade from the penthouse I had actually booked. I still waited for half hour plus for my penthouse when I…,mrred387,July 2019,1.0
Smoke in room/AMAZING Casino,The first night we arrived in our room there was a terrible smoke smell. We called down to the front desk immediately to notify them so we didn’t get charged for smoking in the room as neither of us are Smokers and there are signs posted everywhere for no smoking in the rooms.…,ericjohn1204,July 2019,2.0
Stay at MGM,MGM Grand was amazing stay. The food was awesome and the staff were great. From the moment we got there till the moment we left it was great. Without a doubt we will be staying here again. The next time we stay,hockeyjoseph,July 2019,5.0
NBA Summer League trip,"My wife and I stay at MGM at least three times a year, and they always get it right. Once in May for our anniversary, then in July for the NBA Summer League and then again in November for Thanksgiving. Thanks MGM.",spectrumland,July 2019,5.0
Very Disappointed,Poor response to problems or issues and no follow through. This was my very first trip to Las Vegas and I was so frustrated because I had to stay in a room for 5 days with the air not working properly. I brought this to their attention 4 or 5 times with no resolution,pamelaczackery,July 2019,1.0
Mgm Grand Las Vegas,"Girls trip for a 40 th birthday. We enjoyed the pool, casino, restaurants, bars and entertainment. Location great. Elevator keys were a disaster. Had to go to desk twice in 4 days for another key. The rooms were clean but showing their age. They are VERY generous with the comps!",judigilreath,July 2019,4.0
Customer service was horrible!! Charged for things not purchased.,The check in line was very long & I was charged for refreshments I did not eat. Just because you move them does not mean we took them. You need a new system for purchasing refreshments in the room. Parking was ridiculously expensive.,Escape538050,July 2019,2.0
Great trip on 4th of July!!,"Great trip for my wife and I on my birthday weekend. We stayed over 4th of July weekend,spent plenty of time at the pool-Great pool grounds!! Saw KA one night-a lil slow but still a great show! Great location being at that end of the strip,easy to see other hotels by walking…",tomygun70,July 2019,4.0
Need renovation,"Rooms are outdated and dirty. Need to update product. Bathroom is too dark and no make up mirror. Carpet feels dirty, bathroom sink and shower has a lot cracks and damage. Towels are thin hardly soaks up the water.",Marissa H,July 2019,2.0
Good,"Fast check in. The only complain is I kept missing my floor to my room, I was to drunk I couldn't press the floor and scan my key fast enough.The elevator is definitely not drunk friendly. Also, I kept having to get a new room key it wouldn't open my room.",georginamarin,July 2019,4.0
Disappointed,"Had a issue with the black jack dealer,felt as if he discriminated against me,and felt he pre judge me as far as my finances go,talk to the Vice President Robert S about it and they offer a apology,which was good but not good enough it still makes me feel bad when I think about…",austinsammie1954,July 2019,5.0
It was OK,The hotel itself is not bad but the rooms are not up to date and need to be cleaned better. I was there for a conference with about 5000 event planners. I would’ve expected the rooms to be in better condition.,N1588TOannah,July 2019,3.0
The Best Hotel on the Strip,Great location - beautiful property - the staff is TOP NOTCH. Definitely a place to stay if you want to feel appreciated! Would stay again...maybe not in July...but will return! MGM is GRAND..........,denaaicklen,July 2019,5.0
Great location. Nice rooms and awesome shops,Great location. The MGM is so big you never have to leave. Everything is located inside the MGM. Great shows and pretty good restaurants. The only thing is the pool area gets really crowded by 10a.m. If you want a shaded sitting you’ll definitely have to come as early as 8a.m…,chriistina68,July 2019,5.0
Not Up To Former Standards,"I haven’t stayed here since November 2014, and the hotel, which has expanded significantly since then, is not up to its former standard. It starts with check-in. It previously was slow; now it is excruciatingly slow. My room was a Grand King in the Grand Tower. The…",Michael B,July 2019,3.0
Grand time,"Time for fun and business with a recent triip to Las Vegas. The decor of the property is lovely, location is convenient, restaurants are great and the staff was friendly. Enjoyed time in Vegas at MGM Grand!",paulamaxwell,July 2019,5.0
MGM grand,MGM grand is a great hotel and it has nice rooms and a big pool and its beds are so cofferbal you can sleep so well you will love it when you get there . It's so much fun there you will have so much fun Whiskers,Kayla's Toy Wor... U,September 2018,4.0
West wing rooms,Our room was in the West Wing at the MGM Grand. We had never stayed at the hotel so didn’t know what the rooms were like. The room was tiny without a separate bathroom. The lights barely worked and the window was the size of a television screen. It felt like we were in prison.…,kerryp1062015,July 2019,1.0
1st Vegas Experience!,"Great property, close to everything you could imagine. It was July so quite HOT! The MGM has entertainment, a great pool area, food, shopping ...its all at the MGM! I loved my stay and would go back again with family!",Jduck2019,July 2019,4.0
Impressive Convention Center Location.,"Enjoyed the convention space and the facilities were super impressive. Definitely do pre check in online before arriving, or you'll be in line for a long time. If you arrive before 2pm, there likely won't be a room ready for you.",marisarose4218,July 2019,4.0
